type,meter_number,mpan_top,mpar,serial_number
gas,,,3315757809,
gas,,,2974712000,
gas,,,9338341203,
gas,,,8878361003,
gas,,,636855408,
gas,,,49405501,
gas,,,2208566100,
gas,,,8821588302,
gas,,,2177880608,
gas,,,9150024709,
gas,,,639307201,
gas,,,7677184810,
gas,,,80684701,
gas,,,9191362703,
gas,,,4206896801,
gas,,,9089968408,
gas,,,9220398706,
gas,,,8867411508,
gas,,,68264606,
gas,,,8859175201,
gas,,,548025106,
gas,,,554779503,
gas,,,3334890010,
gas,,,9168434203,
gas,,,2159424108,
gas,,,2178801209,
gas,,,3300247204,
gas,,,16274703,
gas,,,3391484110,
gas,,,3918849906,
gas,,,60259303,
gas,,,3346832607,
gas,,,2248093410,
gas,,,2208738709,
gas,,,4021367207,
gas,,,3335581204,
gas,,,669015902,
gas,,,3357933310,
gas,,,2956861004,
gas,,,69827910,
gas,,,2175225700,
gas,,,3368118405,
gas,,,2196961301,
gas,,,558589002,
gas,,,65667602,
gas,,,202464505,
gas,,,8930106703,
gas,,,2449126205,
gas,,,3227338809,
gas,,,577896007,
gas,,,1903965108,
gas,,,8824287000,
gas,,,3388135406,
gas,,,3356343710,
gas,,,9087120707,
gas,,,10650506,
gas,,,9152288002,
gas,,,63362603,
gas,,,3367675107,
gas,,,550977206,
gas,,,60642908,
gas,,,2420992900,
gas,,,2097256704,
gas,,,700920901,
gas,,,3366061201,
gas,,,3389337401,
gas,,,3389136604,
gas,,,9149105603,
gas,,,3386827100,
gas,,,60967903,
gas,,,63144301,
gas,,,685262608,
gas,,,9305690801,
gas,,,3239640106,
gas,,,8897396108,
gas,,,3297148308,
gas,,,608345601,
gas,,,2958005802,
gas,,,3346069800,
gas,,,2103555904,
gas,,,538919007,
gas,,,65971908,
gas,,,64359204,
gas,,,2178284002,
gas,,,8814641906,
gas,,,7435763710,
gas,,,5036263201,
gas,,,5005539608,
gas,,,3258557104,
gas,,,3258370705,
gas,,,3258370009,
gas,,,3234003903,
gas,,,3053092607,
gas,,,2218077910,
gas,,,5032133302,
gas,,,4012693208,
gas,,,16784906,
gas,,,9143972609,
gas,,,9219722504,
gas,,,9339499109,
gas,,,9339499008,
gas,,,929416008,
gas,,,3329884001,
gas,,,3304261510,
gas,,,9331242502,
gas,,,9325917703,
gas,,,9316426604,
gas,,,9299604603,
gas,,,9135417102,
gas,,,8863378101,
gas,,,7644297004,
gas,,,82364704,
gas,,,80648506,
gas,,,77569102,
gas,,,68656702,
gas,,,51322002,
gas,,,51273902,
gas,,,51058909,
gas,,,47322801,
gas,,,12069704,
gas,,,8006210,
gas,,,8005803,
gas,,,7831405,
gas,,,7711204,
gas,,,7711103,
gas,,,3368864800,
gas,,,3238603409,
gas,,,3048255303,
gas,,,8855636505,
gas,,,9213401700,
gas,,,7477643802,
gas,,,7439758300,
gas,,,7439754000,
gas,,,7439753907,
gas,,,7435766402,
gas,,,7435764600,
gas,,,7419498310,
gas,,,3256835208,
gas,,,3371328106,
gas,,,4264935407,
gas,,,8818817601,
gas,,,67560403,
gas,,,9091548901,
gas,,,9314995308,
gas,,,3375109709,
gas,,,4154927103,
gas,,,9220619202,
gas,,,9151138505,
gas,,,8815632708,
gas,,,3926766505,
gas,,,2438116707,
gas,,,8816241900,
gas,,,80349103,
gas,,,3382494101,
gas,,,48113808,
gas,,,3378481610,
gas,,,3357001810,
gas,,,3319216301,
gas,,,3324072609,
gas,,,5044666601,
gas,,,3368315205,
gas,,,3370897006,
gas,,,3346962609,
gas,,,2979277202,
gas,,,9334626008,
gas,,,76429002,
gas,,,71296410,
gas,,,60498703,
gas,,,20692809,
gas,,,2280705,
gas,,,2280604,
gas,,,2280402,
gas,,,2280301,
gas,,,50408,
gas,,,50307,
gas,,,76429204,
gas,,,1547689407,
gas,,,9145350102,
gas,,,82216610,
gas,,,9101087102,
gas,,,202726509,
gas,,,2126717404,
gas,,,576312409,
gas,,,9365460910,
gas,,,3342995110,
gas,,,3290252301,
gas,,,72068806,
gas,,,3307688203,
gas,,,9326628701,
gas,,,4035902802,
gas,,,3372012701,
gas,,,3358664909,
gas,,,3350405002,
gas,,,9334559210,
gas,,,8827466700,
gas,,,3361860610,
gas,,,3379981400,
gas,,,5064041000,
gas,,,2493268102,
gas,,,8870567106,
