type,meter_number,mpan_top,mpar,serial_number
elec,1012843490035,03136201,,D10W693749
elec,1416754791009,04811010,,E16Z004830
elec,2316006561512,03801240,,YK78K05748
gas,,,3983641910,016175
elec,1900010052686,04812120,,E12Z101237
gas,,,579937409,G4K00212461501
elec,1012398794237,03801201,,L94E005361
gas,,,3333474608,M040A0132110D6
elec,2000056034985,03801126,,K15C00292
gas,,,3361657804,00263922
gas,,,2189307403,8526498
elec,1100018451703,04811037,,E10Z02711
elec,2000002073957,03801127,,S05R01129
gas,,,60625201,8022335S
elec,1200027968142,03801952,,F78A 03342
elec,1200033162533,04809956,,L90A15826
elec,1200026308385,04874956,,215121084
elec,1013018032660,03801201,,19L2661148
gas,,,9322398701,M025A0069214D6
elec,1630000343299,00845801,,K13TB01094
gas,,,9387686701,E016K0328920D6
gas,,,9217449603,M016A1358110A6
gas,,,8863672101,8005093S
elec,1012831279331,03801201,,L99E06448
elec,2000002091539,03801126,,S73C02767
elec,1591037377539,08801257,,K04D00987
elec,2000001629351,03801127,,E16UP18301
elec,2000057635418,01801100,,20L2178914
elec,2600001157390,03801403,,K13C03062
elec,1012831431591,03801201,,K18TR00420
gas,,,82052808,M016K0190416D6
elec,1012835196237,03136201,,E11Z27590
elec,2000002961903,03801126,,S03C22921
elec,2000050469551,03801126,,K65C14186
elec,2000054476622,03801127,,E13Z007777
gas,,,9214091200,E016K0166116D6
elec,1012411731274,04807205,,211044569
gas,,,2178801310,E016K0701515D6
elec,2000010961884,03801127,,18100474
elec,2000053057828,03801127,,S05R02531
elec,1050002094316,03801202,,250405474
elec,2332291026912,01801100,,KD06K04120
elec,1900091008808,00845550,,K16A000557
elec,1012398797910,03801201,,K89E019729
elec,1012748956355,04811205,,39192723
elec,2000001000381,04108135,,218796237
gas,,,3333475408,G4K00088801801
elec,2700002197760,03800C2D,,250500679
elec,1050001752825,03801201,,K20W000027
elec,2000051503600,03801127,,E14UP03334
gas,,,9389484205,M016M0070619S6
